"Awal pelaporan","Akhir pelaporan","Nama kampanye","Penayangan kampanye","Pengaturan atribusi",Hasil,"Indikator Hasil","Biaya per Hasil","Anggaran Set Iklan","Jenis Anggaran Set Iklan","Jumlah yang dibelanjakan (IDR)",Impresi,Jangkauan,Frekuensi,"Klik Tautan Unik",Berakhir,"Hasil (awal)","Indikator hasil (awal)"
2026-08-19,2026-08-19,pernikahan,inactive,"Klik 7 hari atau tayangan 1 hari",,,,20000,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,kulkas,inactive,-,,,,28400,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,"sepeda master",inactive,"Klik 7 hari atau tayangan 1 hari",,,,20000,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,manurung,inactive,"Klik 7 hari atau tayangan 1 hari",2846,actions:link_click,28.93640197,"Menggunakan anggaran set iklan",0,82353,19116,18944,1.009079,2788,Berlangsung,,
2026-08-19,2026-08-19,manurung,active,"Klik 7 hari atau tayangan 1 hari",4270,actions:link_click,25.78196721,"Menggunakan anggaran set iklan",0,110089,33702,32523,1.036251,4089,Berlangsung,,
2026-08-19,2026-08-19,manurung,active,"Klik 7 hari atau tayangan 1 hari",4158,actions:link_click,26.02958153,"Menggunakan anggaran set iklan",0,108231,33661,33329,1.009961,3825,Berlangsung,,
2026-08-19,2026-08-19,manurung,inactive,"Klik 7 hari atau tayangan 1 hari",1940,actions:link_click,30.32113402,"Menggunakan anggaran set iklan",0,58823,14834,14720,1.007745,1835,Berlangsung,,
2026-08-19,2026-08-19,kalcer,active,"Klik 7 hari atau tayangan 1 hari",313,actions:link_click,65.2428115,22600,Harian,20421,5394,5251,1.027233,313,Berlangsung,,
2026-08-19,2026-08-19,pitwadon,inactive,"Klik 7 hari atau tayangan 1 hari",,,,22600,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,outerpremium,inactive,"Klik 7 hari atau tayangan 1 hari",,,,22600,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,perabot,inactive,"Klik 7 hari atau tayangan 1 hari",,,,22600,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,dul,inactive,"Klik 7 hari atau tayangan 1 hari",,,,22600,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,kades,inactive,"Klik 7 hari atau tayangan 1 hari",,,,22600,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,manurung,active,"Klik 7 hari atau tayangan 1 hari",1068,actions:link_click,24.81554307,"Menggunakan anggaran set iklan",0,26503,8550,8550,1,993,Berlangsung,,
2026-08-19,2026-08-19,manurung,active,"Klik 7 hari atau tayangan 1 hari",5259,actions:link_click,25.23882867,"Menggunakan anggaran set iklan",0,132731,39087,38426,1.017202,5114,Berlangsung,,
2026-08-19,2026-08-19,newmanurung,active,"Klik 7 hari atau tayangan 1 hari",882,actions:link_click,27.56575964,22600,Harian,24313,6668,6668,1,847,Berlangsung,,
2026-08-19,2026-08-19,manurung,inactive,"Klik 7 hari atau tayangan 1 hari",,,,"Menggunakan anggaran set iklan",0,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,manurung,inactive,"Klik 7 hari atau tayangan 1 hari",,,,"Menggunakan anggaran set iklan",0,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,manurung,inactive,"Klik 7 hari atau tayangan 1 hari",,,,"Menggunakan anggaran set iklan",0,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,manurung,inactive,"Klik 7 hari atau tayangan 1 hari",,,,"Menggunakan anggaran set iklan",0,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,manurung,inactive,"Klik 7 hari atau tayangan 1 hari",,,,"Menggunakan anggaran set iklan",0,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,celanapanjang,active,"Klik 7 hari atau tayangan 1 hari",156,actions:link_click,184.09615385,19000,Harian,28719,3281,3275,1.001832,156,Berlangsung,,
2026-08-19,2026-08-19,laque,inactive,"Klik 7 hari atau tayangan 1 hari",,,,22600,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,kalcer,active,"Klik 7 hari atau tayangan 1 hari",1922,actions:link_click,63.54786681,"Menggunakan anggaran set iklan",0,122139,33207,29966,1.108156,1905,Berlangsung,,
2026-08-19,2026-08-19,"shopee aff wanita - Salin",inactive,"Klik 7 hari atau tayangan 1 hari",,,,20000,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,"outerpremium master",inactive,"Klik 7 hari atau tayangan 1 hari",,,,22600,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,"perabot master",inactive,"Klik 7 hari atau tayangan 1 hari",,,,22600,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,kalcer,inactive,"Klik 7 hari atau tayangan 1 hari",,,,"Menggunakan anggaran set iklan",0,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,kalcer,inactive,"Klik 7 hari atau tayangan 1 hari",,,,"Menggunakan anggaran set iklan",0,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,newmanurung,active,"Klik 7 hari atau tayangan 1 hari",841,actions:link_click,24.18668252,22600,Harian,20341,5920,5772,1.025641,826,Berlangsung,,
2026-08-19,2026-08-19,newmanurung,active,"Klik 7 hari atau tayangan 1 hari",680,actions:link_click,25.10735294,22600,Harian,17073,4545,4345,1.04603,680,Berlangsung,,
2026-08-19,2026-08-19,newmanurung,active,"Klik 7 hari atau tayangan 1 hari",1069,actions:link_click,23.76894294,22600,Harian,25409,7934,7934,1,1056,Berlangsung,,
2026-08-19,2026-08-19,newmanurung,active,"Klik 7 hari atau tayangan 1 hari",903,actions:link_click,30.87707641,22600,Harian,27882,6940,6659,1.042199,887,Berlangsung,,
2026-08-19,2026-08-19,newmanurung,active,"Klik 7 hari atau tayangan 1 hari",2632,actions:link_click,33.57370821,"Menggunakan anggaran set iklan",0,88366,16913,16913,1,2632,Berlangsung,,
2026-08-19,2026-08-19,seamless,active,"Klik 7 hari atau tayangan 1 hari",335,actions:link_click,127.91044776,35000,Harian,42850,5946,5886,1.010194,335,Berlangsung,,
2026-08-19,2026-08-19,"masteran master",inactive,-,,,,22600,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,"shopee aff klik",inactive,"Klik 7 hari atau tayangan 1 hari",,,,25400,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,"shopee aff klik koin 2",inactive,"Klik 7 hari atau tayangan 1 hari",,,,"Menggunakan anggaran set iklan",0,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,"shopee aff ngepe",inactive,"Klik 7 hari atau tayangan 1 hari",,,,20000,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,"shopee aff wanita",inactive,"Klik 7 hari atau tayangan 1 hari",,,,20000,Harian,0,0,0,0,,Berlangsung,,
